pk,main_category,sub_category,name,sku,price,description,image,rating
26,2,[9],Protein Plus 30% Protein Bar 55G Vanilla Coconut,025026,1.99,"Designed to provide protein after a medium to long workout to assist recovery.A bar with high protein and carbohydrate content, for use within 30 minutes after exercise. Ideally consume together with a recovery drink.",protein-plus-30-protein-bar-55g-vanilla-coconut.jpg,0.9
27,2,[9],Toasted Caramel Nut Protein Bar,025027,1.99,"Made with premium whole ingredients, this is a protein bar that, well, doesn't taste like a protein bar.Toasted Caramel Nut is a satisfyingly delicious blend of rich toasted caramel and crunchy, whole almonds and peanuts for a snack that only tastes like dessert.",toasted-caramel-nut-protein-bar.jpg,4.1
28,2,[9],52% Protein Plus Protein Bar 50 G Cookie & Cream,025028,2.29,"Designed to provide protein after a medium to long workout to assist recovery.A bar with a high protein and low carbohydrate content, for use within 30 minutes after exercise. Ideally consume together with a recovery drink.",52-protein-plus-protein-bar-50-g-cookie-and-cream.jpg,3.9
29,2,[9],100% Vegan Protein 90G - Double Choc Chip Cookie,025029,2.49,"This product helps you reach your goals of building and/or maintaining muscle massA protein cookie suitable for vegans, does not contain milk or products derived from eggs. Does not contain genetically modified organisms or added sweeteners.",100-vegan-protein-90g-double-choc-chip-cookie.jpg,4.5
30,2,[9],Banana/Chocolate Cereal Energy Bar 6X21G,025030,2.49,"Our team of enthusiasts created this enjoyable cereal bar to provide energy during running or cycling training sessions lasting less than 3 hours.Looking for a high-quality cereal bar for sports? Before, during and after your training sessions, treat yourself to a bar without palm oil to replenish your energy reserves.",bananachocolate-cereal-energy-bar-6x21g.jpg,4.2
31,2,"[1,3]",Elastic Kids' Skipping Band,025031,2.49,Our team designed this elastic skipping band for kids to play with during mid-day breaks with friends.A timeless toy for outdoor fun! This elastic skipping band is perfect for burning off excess energy and developing motor skills while having a great time.,elastic-kids-skipping-band.jpg,1.4
32,2,[10],"Functional Energy Drink Blood Orange Del Sol, Bcaa, Zero Sugar , No Carbs, 330Ml",025032,2.49,"Flavoured Functional Drinks for Health, Fitness & EverydayOne can of NOCCO contains five different types of Vitamin B (folic acid, niacin, biotin, B6 and B12) as well as Vitamin D. It contain 180mg of caffeine and 3000mg of BCAA. Free from sugar",functional-energy-drink-blood-orange-del-sol-bcaa-zero-sugar-no-carbs-330ml.jpg,3.0
33,2,[10],"Functional Energy Drink Ice Soda, Bcaa, Zero Sugar , No Carbs, 330Ml",025033,2.49,"Flavoured Functional Drinks for Health, Fitness & EverydayOne can of NOCCO contains five different types of Vitamin B (folic acid, niacin, biotin, B6 and B12) as well as Vitamin D. It contain 180mg of caffeine and 3000mg of BCAA. Free from sugar",functional-energy-drink-ice-soda-bcaa-zero-sugar-no-carbs-330ml.jpg,1.5
34,2,[10],"Functional Energy Drink Lã­Mon Del Sol, Bcaa, Zero Sugar , No Carbs, 330Ml",025034,2.49,"Flavoured Functional Drinks for Health, Fitness & EverydayOne can of NOCCO contains five different types of Vitamin B (folic acid, niacin, biotin, B6 and B12) as well as Vitamin D. It contain 180mg of caffeine and 3000mg of BCAA. Free from sugar",functional-energy-drink-limon-del-sol-bcaa-zero-sugar-no-carbs-330ml.jpg,1.5
35,2,[10],"Functional Energy Drink Miami Strawberry, Bcaa, Zero Sugar , No Carbs, 330Ml",025035,2.49,"Flavoured Functional Drinks for Health, Fitness & EverydayOne can of NOCCO contains five different types of Vitamin B (folic acid, niacin, biotin, B6 and B12) as well as Vitamin D. It contain 180mg of caffeine and 3000mg of BCAA. Free from sugar",functional-energy-drink-miami-strawberry-bcaa-zero-sugar-no-carbs-330ml.jpg,2.9
36,2,[9],High Protein Bar Caramel,025036,2.49,"Our team created this caramel protein bar for a snack after a workout or at any time of day. Sold by the unit.With 30 grams of protein and only 1 gram of sugar per portion, the HIGH PROTEIN BAR is the perfect snack to help you maintain and grow muscle mass.",high-protein-bar-caramel.jpg,2.8
37,2,[9],High Protein Bar Red Fruits,025037,2.49,"Our team created this red fruits protein bar for a snack after a workout or at any time of day. Sold by the unit.With 30 grams of protein and only 1 gram of sugar per portion, the HIGH PROTEIN BAR is the perfect snack to help you maintain and grow muscle mass.",high-protein-bar-red-fruits.jpg,2.5
38,3,[6],Men'S Short-Sleeved Slim-Fit Crew Neck Cotton Fitness T-Shirt Sportee - Navy Blue,035038,2.49,"Our garment designers couldn't pass up this short-sleeved crew neck T-shirt made from 100% cotton: a basic that transitions easily from sports to everyday wear.A straight cut that matches everything, a crew neck and short sleeves, all in 100% cotton fabric: a timeless, must-have basic that will always have a place in your fitness wardrobe!",mens-short-sleeved-slim-fit-crew-neck-cotton-fitness-t-shirt-sportee-navy-blue.jpg,3.9
39,2,[10],"Natural Energy Drink Vegan, & Gluten Free Drink, +Bcaa, Blackberry & Acai, 330Ml",025039,2.49,"TENZING Natural Energy. Purely From PlantsIinspired by the energizing brews of Himalayan Sherpa's. For this blend with Blackberry & Acai, weâ€™ve added plant-based BCAA for our strongest ever brew.",natural-energy-drink-vegan-and-gluten-free-drink-bcaa-blackberry-and-acai-330ml.jpg,0.2
40,2,[10],"Natural Energy Vegan & Gluten Free Drink, +Bcaa, Pineapple & Passionfruit, 330Ml",025040,2.49,"TENZING Natural Energy. Purely From PlantsInspired by the energizing brews of Himalayan Sherpas. This blend with Pineapple & Passionfruit, as well as plant based BCAA results in a refreshing and powerful kick.",natural-energy-vegan-and-gluten-free-drink-bcaa-pineapple-and-passionfruit-330ml.jpg,4.1
41,2,[9],Protein Bar 60% - Caramel/Peanut Butter,025041,2.49,"growing or maintaining muscle mass. Before or after your workoutsThe 60% Weider bar offers a high percentage of protein. Perfect for growing or maintaining muscle mass, as well as recharging after your workout",protein-bar-60-caramelpeanut-butter.jpg,1.0
42,2,[9],Protein Bar 60% - Vanilla,025042,2.49,"growing or maintaining muscle mass. Before or after your workoutsThe 60% Weider bar offers a high percentage of protein. Perfect for growing or maintaining muscle mass, as well as recharging after your workout",protein-bar-60-vanilla.jpg,1.5
43,2,[9],Smart Bar Plant Brownie,025043,2.49,"Smart Bar Plant is a delicious high protein, low sugar snack suitable for vegans and vegetarians.The bar contains a super-soft protein centre, coated in gooey caramel and protein crispies, which truly delivers that satisfying crunch texture when you take a bite.",smart-bar-plant-brownie.jpg,4.6
44,2,[9],Smart Bar Plant Caramel,025044,2.49,"Smart Bar Plant is a delicious high protein, low sugar snack suitable for vegans and vegetarians.The bar contains a super-soft protein centre, coated in gooey caramel and protein crispies, which truly delivers that satisfying crunch texture when you take a bite.",smart-bar-plant-caramel.jpg,0.9
45,2,[9],Smart Bar Plant Peanut Butter,025045,2.49,"Smart Bar Plant is a delicious high protein, low sugar snack suitable for vegans and vegetarians.The bar contains a super-soft protein centre, coated in gooey caramel and protein crispies, which truly delivers that satisfying crunch texture when you take a bite.",smart-bar-plant-peanut-butter.jpg,4.6
46,2,[9],Smart Bar Plant Vanilla,025046,2.49,"Smart Bar Plant is a delicious high protein, low sugar snack suitable for vegans and vegetarians.The bar contains a super-soft protein centre, coated in gooey caramel and protein crispies, which truly delivers that satisfying crunch texture when you take a bite.",smart-bar-plant-vanilla.jpg,1.4
